"Number_of_Vehicles","Accident_Date","Time_24hr_","First_Road_Class","Road_Surface","Lighting_Conditions","Weather_Conditions","Type_of_Vehicle","Casualty_Class","Casualty_Severity","Sex_of_Casualty","Age_of_Casualty"
2,2017-07-15,"22:41","A","Dry",4,1,9,1,3,1,21
2,2017-07-16,"13:57","U","Dry",1,1,9,1,3,1,31
2,2017-07-17,"08:49","U","Dry",1,1,9,1,3,1,9
2,2017-07-19,"07:50","A","Dry",1,1,9,1,3,1,35
2,2017-07-19,"11:14","A","Dry",1,1,9,1,2,1,63
2,2017-07-20,"08:43","U","Dry",1,1,9,1,3,2,38
2,2017-07-20,"08:59","B","Dry",1,1,9,1,3,2,29
2,2017-07-21,"17:58","M","Dry",7,1,9,1,3,2,26
1,2017-07-24,"23:28","U","Dry",4,1,9,1,3,2,NA
1,2017-07-29,"00:40","U","Wet",4,1,8,1,3,1,49
2,2017-07-30,"08:22","U","Wet",1,2,9,1,3,2,51
2,2017-07-30,"19:33","U","Dry",7,1,19,1,3,1,7
2,2017-08-01,"10:20","U","Dry",1,1,19,1,3,1,47
1,2017-08-05,"15:50","A","Dry",1,1,5,1,2,2,44
2,2017-08-06,"15:30","A","Dry",1,1,9,2,3,1,72
1,2017-08-06,"16:10","A","Wet",1,2,9,1,3,2,31
1,2017-08-06,"15:30","A","Dry",1,1,9,3,3,2,49
2,2017-08-06,"22:06","U","Wet",4,2,9,1,3,1,37
2,2017-08-08,"18:14","U","Wet",7,1,9,1,3,1,51
2,2017-08-09,"07:35","U","Dry",1,1,1,1,3,1,37
1,2017-08-09,"11:10","A","Dry",1,1,8,3,3,2,80
2,2017-08-04,"14:30","U","Dry",1,1,8,1,3,1,50
2,2017-08-09,"16:55","A","Dry",1,1,11,1,2,1,49
3,2017-08-11,"08:05","A","Dry",1,1,9,1,3,2,47
2,2017-08-03,"20:43","U","Dry",4,1,9,1,2,1,62
2,2017-08-13,"20:50","A","Dry",4,1,8,1,3,1,34
2,2017-08-13,"21:46","A","Dry",7,1,3,1,3,1,17
2,2017-08-17,"12:15","A","Dry",1,1,9,1,3,1,34
2,2017-08-18,"21:00","U","Dry",6,4,9,1,3,1,49
1,2017-08-23,"15:18","U","Dry",1,1,9,3,3,2,8
1,2017-08-27,"06:09","A","Dry",7,1,9,1,2,1,60
1,2017-08-27,"09:22","U","Dry",1,1,9,3,3,1,39
2,2017-10-07,"14:33","A","Dry",1,1,9,1,3,1,55
1,2017-08-27,"15:05","A","Dry",1,1,9,3,2,1,24
1,2017-08-27,"16:57","A","Dry",1,1,9,3,2,1,27
2,2017-08-28,"09:29","A","Dry",1,1,9,1,3,2,46
5,2017-08-30,"17:06","A","Dry",7,1,9,1,3,1,46
2,2017-08-30,"17:21","A","Dry",7,1,5,1,2,1,52
2,2017-08-01,"16:15","U","Dry",1,1,3,1,3,1,20
4,2017-09-01,"10:58","M","Dry",1,1,9,1,3,2,52
2,2017-09-01,"14:55","A","Dry",1,1,5,1,3,1,62
1,2017-09-01,"21:28","U","Dry",4,1,9,2,3,1,10
1,2017-09-01,"21:36","A","Dry",7,1,4,1,3,1,20
2,2017-09-02,"19:57","U","Dry",4,1,9,1,3,2,24
3,2017-09-04,"12:40","U","Dry",1,1,11,1,3,2,44
2,2017-09-04,"14:55","M","Dry",1,1,9,1,3,2,46
1,2017-09-04,"16:30","A","Wet",1,1,3,1,2,2,56
2,2017-09-05,"06:45","U","Wet",7,2,9,1,3,1,41
3,2017-09-06,"22:09","U","Wet",7,1,9,1,3,1,45
3,2017-09-07,"07:27","U","Dry",7,1,9,1,3,2,61
1,2017-09-08,"07:34","M","Wet",1,2,9,1,3,2,23
2,2017-09-08,"07:43","U","Wet",1,2,9,1,3,1,30
2,2017-09-13,"08:28","U","Dry",1,1,9,1,3,2,53
1,2017-09-08,"17:55","U","Dry",7,1,9,3,3,2,9
2,2017-09-08,"21:30","M","Wet",4,2,9,1,3,1,54
1,2017-09-09,"15:22","U","Dry",1,1,9,3,3,1,58
2,2017-09-09,"17:43","A","Wet",7,2,9,1,3,2,61
3,2017-09-10,"16:08","U","Wet",1,2,1,1,3,1,22
3,2017-09-11,"05:38","M","Wet",4,2,9,1,3,1,31
4,2017-09-11,"13:30","M","Wet",1,2,9,2,3,2,64
2,2017-09-11,"18:38","A","Dry",7,1,9,1,2,1,31
2,2017-09-13,"19:35","A","Wet",4,1,9,1,3,1,21
3,2017-09-15,"12:14","M","Dry",1,1,9,2,3,2,82
2,2017-09-16,"12:05","U","Dry",1,1,1,1,3,1,9
2,2017-09-16,"15:55","U","Dry",1,1,4,1,3,1,36
2,2017-09-17,"10:25","U","Wet",1,1,9,1,2,1,24
2,2017-09-20,"16:27","B","Dry",1,1,9,1,2,1,16
2,2017-09-21,"16:25","U","Dry",1,1,9,1,3,1,12
1,2017-09-22,"16:17","A","Wet",1,2,3,1,3,1,25
1,2017-09-22,"07:25","U","Dry",7,1,9,3,3,2,13
2,2017-09-27,"19:43","U","Wet",4,2,9,1,2,1,23
3,2017-09-28,"12:05","A","Dry",1,1,9,2,3,1,86
2,2017-09-28,"21:29","U","Dry",4,1,9,1,3,1,36
1,2017-09-26,"07:50","A","Dry",1,1,11,3,3,1,63
2,2017-09-16,"13:00","B","Dry",1,1,1,1,3,1,60
1,2017-09-29,"18:43","U","Dry",7,1,3,1,2,1,17
1,2017-10-01,"17:15","U","Wet",7,1,9,3,2,1,8
1,2017-10-03,"08:50","A","Wet",1,1,9,3,3,1,NA
2,2017-10-03,"12:50","A","Dry",1,1,9,1,2,1,22
1,2017-10-04,"07:53","A","Wet",1,5,9,3,3,1,16
1,2017-10-05,"16:00","A","Dry",1,1,5,1,3,1,47
2,2017-10-05,"17:00","U","Wet",7,1,9,1,3,1,17
2,2017-10-06,"06:20","A","Dry",7,1,9,1,3,1,49
2,2017-10-08,"12:20","A","Dry",1,1,9,1,3,1,38
1,2017-10-06,"14:18","A","Dry",1,1,9,1,3,2,90
4,2017-10-07,"21:22","A","Wet",4,1,9,1,3,1,31
2,2017-10-09,"16:40","U","Dry",1,1,5,1,1,1,42
3,2017-10-09,"17:30","M","Dry",7,1,21,1,3,2,32
2,2017-10-10,"07:02","U","Dry",7,1,1,1,2,1,41
2,2017-10-10,"17:45","A","Dry",7,1,9,1,3,2,25
2,2017-10-11,"01:43","A(M)","Wet",4,1,9,1,3,2,64
1,2017-10-11,"11:30","U","Dry",1,1,19,3,3,1,56
1,2017-10-12,"06:11","A","Dry",7,1,9,1,3,1,32
2,2017-10-14,"00:12","U","Dry",4,1,9,1,3,1,27
2,2017-10-15,"19:35","A","Dry",4,1,9,1,3,2,62
2,2017-10-16,"10:11","M","Dry",1,1,9,1,3,2,43
1,2017-10-17,"16:07","U","Dry",1,1,9,3,3,1,87
1,2017-10-18,"10:07","U","Dry",1,1,9,3,3,1,NA
1,2017-10-19,"08:40","A","Dry",1,1,9,1,3,2,33
2,2017-10-14,"11:30","U","Dry",1,1,9,2,3,1,29
2,2017-10-21,"00:55","A","Dry",4,1,8,2,3,1,27
4,2017-10-22,"15:31","U","Dry",1,1,9,2,3,2,56
2,2017-10-25,"14:50","A","Dry",1,1,9,1,3,2,24
1,2017-10-27,"16:30","A","Dry",1,1,19,3,2,2,15
2,2017-10-28,"13:13","A","Dry",1,1,9,2,3,2,30
2,2017-10-29,"12:20","U","Dry",1,1,9,1,3,2,41
2,2017-10-31,"12:02","U","Dry",1,1,9,1,3,1,33
1,2017-10-31,"17:20","U","Dry",4,1,9,3,3,1,25
2,2017-10-31,"18:51","U","Dry",4,1,9,1,3,1,34
3,2017-11-01,"07:44","B","Dry",1,1,9,1,3,1,28
1,2017-11-04,"23:31","U","Dry",4,1,9,3,3,1,42
3,2017-11-05,"10:20","A","Dry",1,1,19,2,3,1,5
2,2017-11-05,"22:59","U","Wet",4,1,9,1,3,2,23
1,2017-11-06,"15:00","U","Dry",1,1,9,3,3,2,30
2,2017-11-06,"17:09","U","Dry",4,1,9,1,2,1,19
2,2017-11-06,"17:13","M","Dry",4,1,21,1,3,1,64
1,2017-11-07,"11:50","U","Dry",1,1,9,3,3,1,27
1,2017-11-07,"16:15","A","Dry",1,1,19,3,3,1,17
2,2017-11-08,"16:51","U","Wet",6,1,9,1,3,1,40
4,2017-11-08,"17:43","U","Dry",7,1,9,1,3,2,25
